No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,time 2,time 1,delay 1,delay 2,jitter
1,0,192.168.43.119,192.168.43.255,NBNS,92,Name query NB WPAD<00>,,,,,,,0.000674,0,0.000674,0.00028,0.000394
2,0.000674,fe80::9c9f:8930:3bd4:496e,ff02::1:3,LLMNR,84,Standard query 0xd719 A wpad,,,,,,,0.000954,0.000674,0.00028,0.12414,0.12386
3,0.000954,192.168.43.119,224.0.0.252,LLMNR,64,Standard query 0xd719 A wpad,,,,,,,0.125094,0.000954,0.12414,0.000331,0.123809
4,0.125094,192.168.43.119,192.168.43.255,NBNS,92,Name query NB WPAD<00>,,,,,,,0.125425,0.125094,0.000331,0.00054,0.000209
5,0.125425,192.168.43.119,192.168.43.255,NBNS,92,Name query NB WPAD<00>,,,,,,,0.125965,0.125425,0.00054,4.4E-05,0.000496
6,0.125965,fe80::9c9f:8930:3bd4:496e,ff02::1:3,LLMNR,84,Standard query 0xf8e5 A wpad,,,,,,,0.126009,0.125965,4.4E-05,0.000208,0.000164
7,0.126009,fe80::9c9f:8930:3bd4:496e,ff02::1:3,LLMNR,84,Standard query 0x480c A wpad,,,,,,,0.126217,0.126009,0.000208,6.1E-05,0.000147
8,0.126217,192.168.43.119,224.0.0.252,LLMNR,64,Standard query 0x480c A wpad,,,,,,,0.126278,0.126217,6.1E-05,0.000728,0.000667
9,0.126278,192.168.43.119,224.0.0.252,LLMNR,64,Standard query 0xf8e5 A wpad,,,,,,,0.127006,0.126278,0.000728,0.000547,0.000181
10,0.127006,192.168.43.119,192.168.43.255,NBNS,92,Name query NB WPAD<00>,,,,,,,0.127553,0.127006,0.000547,0.000262,0.000285
11,0.127553,fe80::9c9f:8930:3bd4:496e,ff02::1:3,LLMNR,84,Standard query 0x415d A wpad,,,,,,,0.127815,0.127553,0.000262,0.289383,0.289121
12,0.127815,192.168.43.119,224.0.0.252,LLMNR,64,Standard query 0x415d A wpad,,,,,,,0.417198,0.127815,0.289383,0.000224,0.289159
13,0.417198,fe80::9c9f:8930:3bd4:496e,ff02::1:3,LLMNR,84,Standard query 0xd719 A wpad,,,,,,,0.417422,0.417198,0.000224,0.124733,0.124509
14,0.417422,192.168.43.119,224.0.0.252,LLMNR,64,Standard query 0xd719 A wpad,,,,,,,0.542155,0.417422,0.124733,2.8E-05,0.124705
15,0.542155,fe80::9c9f:8930:3bd4:496e,ff02::1:3,LLMNR,84,Standard query 0xf8e5 A wpad,,,,,,,0.542183,0.542155,2.8E-05,0.000149,0.000121
16,0.542183,fe80::9c9f:8930:3bd4:496e,ff02::1:3,LLMNR,84,Standard query 0x415d A wpad,,,,,,,0.542332,0.542183,0.000149,8.9E-05,6E-05
17,0.542332,192.168.43.119,224.0.0.252,LLMNR,64,Standard query 0x415d A wpad,,,,,,,0.542421,0.542332,8.9E-05,0.000118,2.9E-05
18,0.542421,192.168.43.119,224.0.0.252,LLMNR,64,Standard query 0xf8e5 A wpad,,,,,,,0.542539,0.542421,0.000118,,
19,0.542539,fe80::9c9f:8930:3bd4:496e,ff02::1:3,LLMNR,84,Standard query 0x480c A wpad,,,,,,,,tot delay,0.542539,tot jitter,1.077916
20,0.542722,192.168.43.119,224.0.0.252,LLMNR,64,Standard query 0x480c A wpad,,,,,,,,rat delay,2.24542E-05,rat jitter,4.4612E-05
21,0.745224,192.168.43.119,192.168.43.255,NBNS,92,Name query NB WPAD<00>,,,,,,,,,,,
22,0.870311,192.168.43.119,192.168.43.255,NBNS,92,Name query NB WPAD<00>,,,,,,,,,,,
